Call Id,Agent,Date,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,AvgCallDuration(s),MonthName,Time
ID0006,Stewart,1-Jan-21,Technical Support,N,N,,,,,1,
ID0023,Martha,1-Jan-21,Technical Support,N,N,,,,,1,
ID0050,Dan,1-Jan-21,Technical Support,N,N,,,,,1,
ID0062,Joe,2-Jan-21,Technical Support,N,N,,,,,1,
ID0101,Becky,2-Jan-21,Technical Support,N,N,,,,,1,
ID0114,Stewart,2-Jan-21,Technical Support,N,N,,,,,1,
ID0125,Martha,3-Jan-21,Technical Support,N,N,,,,,1,
ID0134,Jim,3-Jan-21,Technical Support,N,N,,,,,1,
ID0157,Jim,3-Jan-21,Technical Support,N,N,,,,,1,
ID0173,Diane,3-Jan-21,Technical Support,N,N,,,,,1,
ID0186,Diane,4-Jan-21,Technical Support,N,N,,,,,1,
ID0192,Martha,4-Jan-21,Technical Support,N,N,,,,,1,
ID0211,Jim,4-Jan-21,Technical Support,N,N,,,,,1,
ID0216,Becky,4-Jan-21,Technical Support,N,N,,,,,1,
ID0277,Stewart,5-Jan-21,Technical Support,N,N,,,,,1,
ID0279,Joe,5-Jan-21,Technical Support,N,N,,,,,1,
ID0284,Martha,5-Jan-21,Technical Support,N,N,,,,,1,
ID0287,Greg,6-Jan-21,Technical Support,N,N,,,,,1,
ID0304,Greg,6-Jan-21,Technical Support,N,N,,,,,1,
ID0348,Diane,7-Jan-21,Technical Support,N,N,,,,,1,
ID0394,Diane,7-Jan-21,Technical Support,N,N,,,,,1,
ID0405,Jim,8-Jan-21,Technical Support,N,N,,,,,1,
ID0429,Joe,8-Jan-21,Technical Support,N,N,,,,,1,
ID0484,Jim,9-Jan-21,Technical Support,N,N,,,,,1,
ID0497,Joe,9-Jan-21,Technical Support,N,N,,,,,1,
ID0509,Greg,9-Jan-21,Technical Support,N,N,,,,,1,
ID0510,Dan,9-Jan-21,Technical Support,N,N,,,,,1,
ID0568,Stewart,10-Jan-21,Technical Support,N,N,,,,,1,
ID0626,Greg,11-Jan-21,Technical Support,N,N,,,,,1,
ID0627,Martha,11-Jan-21,Technical Support,N,N,,,,,1,
ID0633,Martha,11-Jan-21,Technical Support,N,N,,,,,1,
ID0689,Martha,12-Jan-21,Technical Support,N,N,,,,,1,
ID0692,Diane,12-Jan-21,Technical Support,N,N,,,,,1,
ID0706,Becky,12-Jan-21,Technical Support,N,N,,,,,1,
ID0721,Becky,13-Jan-21,Technical Support,N,N,,,,,1,
ID0753,Stewart,13-Jan-21,Technical Support,N,N,,,,,1,
ID0763,Jim,14-Jan-21,Technical Support,N,N,,,,,1,
ID0779,Greg,14-Jan-21,Technical Support,N,N,,,,,1,
ID0792,Martha,14-Jan-21,Technical Support,N,N,,,,,1,
ID0804,Joe,14-Jan-21,Technical Support,N,N,,,,,1,
ID0807,Becky,14-Jan-21,Technical Support,N,N,,,,,1,
ID0831,Dan,15-Jan-21,Technical Support,N,N,,,,,1,
ID0865,Dan,16-Jan-21,Technical Support,N,N,,,,,1,
ID0881,Martha,16-Jan-21,Technical Support,N,N,,,,,1,
ID0883,Dan,16-Jan-21,Technical Support,N,N,,,,,1,
ID0893,Diane,16-Jan-21,Technical Support,N,N,,,,,1,
ID0897,Stewart,16-Jan-21,Technical Support,N,N,,,,,1,
ID0902,Stewart,16-Jan-21,Technical Support,N,N,,,,,1,
ID0908,Jim,16-Jan-21,Technical Support,N,N,,,,,1,
ID0932,Jim,17-Jan-21,Technical Support,N,N,,,,,1,
ID0974,Jim,18-Jan-21,Technical Support,N,N,,,,,1,
ID0994,Dan,18-Jan-21,Technical Support,N,N,,,,,1,
ID1004,Jim,18-Jan-21,Technical Support,N,N,,,,,1,
ID1008,Joe,18-Jan-21,Technical Support,N,N,,,,,1,
ID1041,Joe,19-Jan-21,Technical Support,N,N,,,,,1,
ID1060,Dan,19-Jan-21,Technical Support,N,N,,,,,1,
ID1067,Greg,19-Jan-21,Technical Support,N,N,,,,,1,
ID1093,Stewart,20-Jan-21,Technical Support,N,N,,,,,1,
ID1130,Stewart,20-Jan-21,Technical Support,N,N,,,,,1,
ID1148,Martha,21-Jan-21,Technical Support,N,N,,,,,1,
ID1158,Joe,21-Jan-21,Technical Support,N,N,,,,,1,
ID1159,Martha,21-Jan-21,Technical Support,N,N,,,,,1,
ID1172,Becky,21-Jan-21,Technical Support,N,N,,,,,1,
ID1176,Martha,21-Jan-21,Technical Support,N,N,,,,,1,
ID1179,Dan,21-Jan-21,Technical Support,N,N,,,,,1,
ID1181,Stewart,22-Jan-21,Technical Support,N,N,,,,,1,
ID1191,Becky,22-Jan-21,Technical Support,N,N,,,,,1,
ID1195,Greg,22-Jan-21,Technical Support,N,N,,,,,1,
ID1201,Stewart,22-Jan-21,Technical Support,N,N,,,,,1,
ID1228,Martha,22-Jan-21,Technical Support,N,N,,,,,1,
ID1262,Martha,23-Jan-21,Technical Support,N,N,,,,,1,
ID1270,Becky,23-Jan-21,Technical Support,N,N,,,,,1,
ID1300,Jim,24-Jan-21,Technical Support,N,N,,,,,1,
ID1372,Jim,25-Jan-21,Technical Support,N,N,,,,,1,
ID1386,Joe,25-Jan-21,Technical Support,N,N,,,,,1,
ID1409,Stewart,26-Jan-21,Technical Support,N,N,,,,,1,
ID1479,Martha,27-Jan-21,Technical Support,N,N,,,,,1,
ID1482,Jim,27-Jan-21,Technical Support,N,N,,,,,1,
ID1506,Greg,27-Jan-21,Technical Support,N,N,,,,,1,
ID1518,Martha,27-Jan-21,Technical Support,N,N,,,,,1,
ID1558,Becky,28-Jan-21,Technical Support,N,N,,,,,1,
ID1588,Jim,29-Jan-21,Technical Support,N,N,,,,,1,
ID1610,Stewart,29-Jan-21,Technical Support,N,N,,,,,1,
ID1626,Joe,29-Jan-21,Technical Support,N,N,,,,,1,
ID1631,Stewart,29-Jan-21,Technical Support,N,N,,,,,1,
ID1695,Jim,30-Jan-21,Technical Support,N,N,,,,,1,
ID1697,Dan,30-Jan-21,Technical Support,N,N,,,,,1,
ID1749,Jim,31-Jan-21,Technical Support,N,N,,,,,1,
ID1777,Jim,1-Feb-21,Technical Support,N,N,,,,,2,
ID1780,Martha,1-Feb-21,Technical Support,N,N,,,,,2,
ID1791,Dan,1-Feb-21,Technical Support,N,N,,,,,2,
ID1833,Stewart,1-Feb-21,Technical Support,N,N,,,,,2,
ID1878,Martha,2-Feb-21,Technical Support,N,N,,,,,2,
ID1905,Martha,3-Feb-21,Technical Support,N,N,,,,,2,
ID1912,Diane,3-Feb-21,Technical Support,N,N,,,,,2,
ID1958,Diane,4-Feb-21,Technical Support,N,N,,,,,2,
ID1976,Stewart,4-Feb-21,Technical Support,N,N,,,,,2,
ID1987,Joe,4-Feb-21,Technical Support,N,N,,,,,2,
ID2000,Diane,4-Feb-21,Technical Support,N,N,,,,,2,
ID2012,Joe,4-Feb-21,Technical Support,N,N,,,,,2,
ID2026,Martha,4-Feb-21,Technical Support,N,N,,,,,2,
ID2029,Greg,5-Feb-21,Technical Support,N,N,,,,,2,
ID2090,Martha,5-Feb-21,Technical Support,N,N,,,,,2,
ID2096,Jim,5-Feb-21,Technical Support,N,N,,,,,2,
ID2133,Dan,6-Feb-21,Technical Support,N,N,,,,,2,
ID2151,Martha,7-Feb-21,Technical Support,N,N,,,,,2,
ID2192,Martha,7-Feb-21,Technical Support,N,N,,,,,2,
ID2221,Diane,8-Feb-21,Technical Support,N,N,,,,,2,
ID2266,Greg,9-Feb-21,Technical Support,N,N,,,,,2,
ID2274,Greg,9-Feb-21,Technical Support,N,N,,,,,2,
ID2283,Diane,9-Feb-21,Technical Support,N,N,,,,,2,
ID2286,Martha,9-Feb-21,Technical Support,N,N,,,,,2,
ID2326,Becky,10-Feb-21,Technical Support,N,N,,,,,2,
ID2348,Becky,10-Feb-21,Technical Support,N,N,,,,,2,
ID2349,Joe,10-Feb-21,Technical Support,N,N,,,,,2,
ID2397,Dan,11-Feb-21,Technical Support,N,N,,,,,2,
ID2433,Diane,11-Feb-21,Technical Support,N,N,,,,,2,
ID2444,Jim,12-Feb-21,Technical Support,N,N,,,,,2,
ID2462,Dan,12-Feb-21,Technical Support,N,N,,,,,2,
ID2473,Diane,12-Feb-21,Technical Support,N,N,,,,,2,
ID2482,Dan,13-Feb-21,Technical Support,N,N,,,,,2,
ID2509,Dan,13-Feb-21,Technical Support,N,N,,,,,2,
ID2548,Diane,14-Feb-21,Technical Support,N,N,,,,,2,
ID2556,Jim,14-Feb-21,Technical Support,N,N,,,,,2,
ID2613,Becky,15-Feb-21,Technical Support,N,N,,,,,2,
ID2629,Greg,15-Feb-21,Technical Support,N,N,,,,,2,
ID2635,Jim,15-Feb-21,Technical Support,N,N,,,,,2,
ID2697,Becky,16-Feb-21,Technical Support,N,N,,,,,2,
ID2760,Stewart,17-Feb-21,Technical Support,N,N,,,,,2,
ID2771,Martha,17-Feb-21,Technical Support,N,N,,,,,2,
ID2799,Stewart,18-Feb-21,Technical Support,N,N,,,,,2,
ID2802,Dan,18-Feb-21,Technical Support,N,N,,,,,2,
ID2813,Joe,18-Feb-21,Technical Support,N,N,,,,,2,
ID2854,Greg,19-Feb-21,Technical Support,N,N,,,,,2,
ID2866,Dan,19-Feb-21,Technical Support,N,N,,,,,2,
ID2907,Greg,20-Feb-21,Technical Support,N,N,,,,,2,
ID2908,Becky,20-Feb-21,Technical Support,N,N,,,,,2,
ID2925,Stewart,20-Feb-21,Technical Support,N,N,,,,,2,
ID2992,Becky,21-Feb-21,Technical Support,N,N,,,,,2,
ID3018,Jim,22-Feb-21,Technical Support,N,N,,,,,2,
ID3019,Becky,22-Feb-21,Technical Support,N,N,,,,,2,
ID3026,Dan,22-Feb-21,Technical Support,N,N,,,,,2,
ID3068,Martha,23-Feb-21,Technical Support,N,N,,,,,2,
ID3077,Martha,23-Feb-21,Technical Support,N,N,,,,,2,
ID3084,Jim,23-Feb-21,Technical Support,N,N,,,,,2,
ID3127,Diane,24-Feb-21,Technical Support,N,N,,,,,2,
ID3142,Dan,24-Feb-21,Technical Support,N,N,,,,,2,
ID3144,Dan,24-Feb-21,Technical Support,N,N,,,,,2,
ID3173,Diane,25-Feb-21,Technical Support,N,N,,,,,2,
ID3232,Becky,26-Feb-21,Technical Support,N,N,,,,,2,
ID3377,Joe,28-Feb-21,Technical Support,N,N,,,,,2,
ID3395,Diane,1-Mar-21,Technical Support,N,N,,,,,3,
ID3401,Greg,1-Mar-21,Technical Support,N,N,,,,,3,
ID3406,Jim,1-Mar-21,Technical Support,N,N,,,,,3,
ID3420,Stewart,1-Mar-21,Technical Support,N,N,,,,,3,
ID3457,Martha,2-Mar-21,Technical Support,N,N,,,,,3,
ID3471,Greg,2-Mar-21,Technical Support,N,N,,,,,3,
ID3515,Greg,3-Mar-21,Technical Support,N,N,,,,,3,
ID3569,Diane,4-Mar-21,Technical Support,N,N,,,,,3,
ID3609,Dan,4-Mar-21,Technical Support,N,N,,,,,3,
ID3632,Stewart,4-Mar-21,Technical Support,N,N,,,,,3,
ID3680,Joe,5-Mar-21,Technical Support,N,N,,,,,3,
ID3725,Jim,6-Mar-21,Technical Support,N,N,,,,,3,
ID3749,Diane,6-Mar-21,Technical Support,N,N,,,,,3,
ID3757,Martha,7-Mar-21,Technical Support,N,N,,,,,3,
ID3778,Joe,7-Mar-21,Technical Support,N,N,,,,,3,
ID3786,Martha,7-Mar-21,Technical Support,N,N,,,,,3,
ID3793,Diane,7-Mar-21,Technical Support,N,N,,,,,3,
ID3800,Dan,7-Mar-21,Technical Support,N,N,,,,,3,
ID3819,Dan,8-Mar-21,Technical Support,N,N,,,,,3,
ID3832,Greg,8-Mar-21,Technical Support,N,N,,,,,3,
ID3906,Greg,10-Mar-21,Technical Support,N,N,,,,,3,
ID3908,Jim,10-Mar-21,Technical Support,N,N,,,,,3,
ID3930,Martha,10-Mar-21,Technical Support,N,N,,,,,3,
ID3949,Stewart,11-Mar-21,Technical Support,N,N,,,,,3,
ID3972,Diane,11-Mar-21,Technical Support,N,N,,,,,3,
ID4052,Greg,12-Mar-21,Technical Support,N,N,,,,,3,
ID4092,Stewart,13-Mar-21,Technical Support,N,N,,,,,3,
ID4113,Martha,13-Mar-21,Technical Support,N,N,,,,,3,
ID4118,Jim,13-Mar-21,Technical Support,N,N,,,,,3,
ID4145,Dan,14-Mar-21,Technical Support,N,N,,,,,3,
ID4148,Becky,14-Mar-21,Technical Support,N,N,,,,,3,
ID4210,Jim,15-Mar-21,Technical Support,N,N,,,,,3,
ID4220,Jim,15-Mar-21,Technical Support,N,N,,,,,3,
ID4235,Becky,16-Mar-21,Technical Support,N,N,,,,,3,
ID4253,Greg,16-Mar-21,Technical Support,N,N,,,,,3,
ID4288,Martha,17-Mar-21,Technical Support,N,N,,,,,3,
ID4300,Martha,17-Mar-21,Technical Support,N,N,,,,,3,
ID4317,Jim,17-Mar-21,Technical Support,N,N,,,,,3,
ID4454,Joe,20-Mar-21,Technical Support,N,N,,,,,3,
ID4458,Becky,20-Mar-21,Technical Support,N,N,,,,,3,
ID4496,Greg,21-Mar-21,Technical Support,N,N,,,,,3,
ID4498,Diane,21-Mar-21,Technical Support,N,N,,,,,3,
ID4529,Greg,21-Mar-21,Technical Support,N,N,,,,,3,
ID4556,Jim,22-Mar-21,Technical Support,N,N,,,,,3,
ID4571,Becky,22-Mar-21,Technical Support,N,N,,,,,3,
ID4602,Greg,23-Mar-21,Technical Support,N,N,,,,,3,
ID4644,Greg,24-Mar-21,Technical Support,N,N,,,,,3,
ID4647,Dan,24-Mar-21,Technical Support,N,N,,,,,3,
ID4657,Diane,24-Mar-21,Technical Support,N,N,,,,,3,
ID4707,Greg,25-Mar-21,Technical Support,N,N,,,,,3,
ID4747,Diane,26-Mar-21,Technical Support,N,N,,,,,3,
ID4778,Joe,26-Mar-21,Technical Support,N,N,,,,,3,
ID4795,Greg,27-Mar-21,Technical Support,N,N,,,,,3,
ID4797,Jim,27-Mar-21,Technical Support,N,N,,,,,3,
ID4829,Diane,27-Mar-21,Technical Support,N,N,,,,,3,
ID4856,Martha,28-Mar-21,Technical Support,N,N,,,,,3,
ID4860,Stewart,28-Mar-21,Technical Support,N,N,,,,,3,
ID4875,Diane,28-Mar-21,Technical Support,N,N,,,,,3,
ID4896,Martha,29-Mar-21,Technical Support,N,N,,,,,3,
ID4900,Greg,29-Mar-21,Technical Support,N,N,,,,,3,
ID4917,Becky,29-Mar-21,Technical Support,N,N,,,,,3,
ID4968,Jim,30-Mar-21,Technical Support,N,N,,,,,3,
ID4979,Greg,31-Mar-21,Technical Support,N,N,,,,,3,
ID0011,Joe,1-Jan-21,Payment related,N,N,,,,,1,
ID0026,Dan,1-Jan-21,Payment related,N,N,,,,,1,
ID0087,Jim,2-Jan-21,Payment related,N,N,,,,,1,
ID0116,Greg,2-Jan-21,Payment related,N,N,,,,,1,
ID0166,Stewart,3-Jan-21,Payment related,N,N,,,,,1,
ID0278,Greg,5-Jan-21,Payment related,N,N,,,,,1,
ID0291,Joe,6-Jan-21,Payment related,N,N,,,,,1,
ID0301,Dan,6-Jan-21,Payment related,N,N,,,,,1,
ID0331,Martha,6-Jan-21,Payment related,N,N,,,,,1,
ID0365,Jim,7-Jan-21,Payment related,N,N,,,,,1,
ID0382,Dan,7-Jan-21,Payment related,N,N,,,,,1,
ID0404,Stewart,8-Jan-21,Payment related,N,N,,,,,1,
ID0408,Dan,8-Jan-21,Payment related,N,N,,,,,1,
ID0427,Diane,8-Jan-21,Payment related,N,N,,,,,1,
ID0432,Becky,8-Jan-21,Payment related,N,N,,,,,1,
ID0468,Dan,9-Jan-21,Payment related,N,N,,,,,1,
ID0471,Joe,9-Jan-21,Payment related,N,N,,,,,1,
ID0481,Joe,9-Jan-21,Payment related,N,N,,,,,1,
ID0545,Joe,10-Jan-21,Payment related,N,N,,,,,1,
ID0585,Diane,11-Jan-21,Payment related,N,N,,,,,1,
ID0606,Stewart,11-Jan-21,Payment related,N,N,,,,,1,
ID0617,Jim,11-Jan-21,Payment related,N,N,,,,,1,
ID0649,Diane,11-Jan-21,Payment related,N,N,,,,,1,
ID0674,Jim,12-Jan-21,Payment related,N,N,,,,,1,
ID0676,Stewart,12-Jan-21,Payment related,N,N,,,,,1,
ID0729,Diane,13-Jan-21,Payment related,N,N,,,,,1,
ID0840,Diane,15-Jan-21,Payment related,N,N,,,,,1,
ID0858,Becky,15-Jan-21,Payment related,N,N,,,,,1,
ID0884,Stewart,16-Jan-21,Payment related,N,N,,,,,1,
ID0960,Martha,17-Jan-21,Payment related,N,N,,,,,1,
ID0981,Stewart,18-Jan-21,Payment related,N,N,,,,,1,
ID1064,Dan,19-Jan-21,Payment related,N,N,,,,,1,
ID1098,Dan,20-Jan-21,Payment related,N,N,,,,,1,
ID1120,Diane,20-Jan-21,Payment related,N,N,,,,,1,
ID1157,Joe,21-Jan-21,Payment related,N,N,,,,,1,
ID1163,Becky,21-Jan-21,Payment related,N,N,,,,,1,
ID1217,Martha,22-Jan-21,Payment related,N,N,,,,,1,
ID1284,Stewart,23-Jan-21,Payment related,N,N,,,,,1,
ID1285,Dan,24-Jan-21,Payment related,N,N,,,,,1,
ID1296,Greg,24-Jan-21,Payment related,N,N,,,,,1,
ID1391,Becky,25-Jan-21,Payment related,N,N,,,,,1,
ID1414,Stewart,26-Jan-21,Payment related,N,N,,,,,1,
ID1452,Dan,26-Jan-21,Payment related,N,N,,,,,1,
ID1457,Becky,26-Jan-21,Payment related,N,N,,,,,1,
ID1469,Greg,27-Jan-21,Payment related,N,N,,,,,1,
ID1578,Greg,29-Jan-21,Payment related,N,N,,,,,1,
ID1580,Stewart,29-Jan-21,Payment related,N,N,,,,,1,
ID1584,Becky,29-Jan-21,Payment related,N,N,,,,,1,
ID1591,Diane,29-Jan-21,Payment related,N,N,,,,,1,
ID1624,Becky,29-Jan-21,Payment related,N,N,,,,,1,
ID1672,Joe,30-Jan-21,Payment related,N,N,,,,,1,
ID1674,Stewart,30-Jan-21,Payment related,N,N,,,,,1,
ID1684,Diane,30-Jan-21,Payment related,N,N,,,,,1,
ID1707,Martha,30-Jan-21,Payment related,N,N,,,,,1,
ID1725,Jim,31-Jan-21,Payment related,N,N,,,,,1,
ID1817,Joe,1-Feb-21,Payment related,N,N,,,,,2,
ID1830,Greg,1-Feb-21,Payment related,N,N,,,,,2,
ID1832,Joe,1-Feb-21,Payment related,N,N,,,,,2,
ID1834,Greg,1-Feb-21,Payment related,N,N,,,,,2,
ID1863,Greg,2-Feb-21,Payment related,N,N,,,,,2,
ID1880,Stewart,2-Feb-21,Payment related,N,N,,,,,2,
ID1950,Stewart,3-Feb-21,Payment related,N,N,,,,,2,
ID1975,Joe,4-Feb-21,Payment related,N,N,,,,,2,
ID1996,Stewart,4-Feb-21,Payment related,N,N,,,,,2,
ID2009,Diane,4-Feb-21,Payment related,N,N,,,,,2,
ID2046,Martha,5-Feb-21,Payment related,N,N,,,,,2,
